name: 🇬🇧GB-82.38.31.194-0089 | type: ss | id: 117 | remarks: 🇺🇸US-198.98.53.130-0229 | protocol: ss | ping: 51 MS | avg_speed: 171.48 MB | max_speed: 138.659 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTplRGZON1NPRFFjZUlPbUlBYnRKSnRL@198.98.53.130:443#%F0%9F%87%BA%F0%9F%87%B8US-198.98.53.130-0229
name: 🇬🇧GB-82.38.31.149-0085 | type: ss | id: 507 | remarks: 🇬🇧GB-82.38.31.202-1152 | protocol: ss | ping: 136 MS | avg_speed: 70.044 MB | max_speed: 153.642 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTprMWRCT21PQjRvcWk3VW1wMzdhMWJR@82.38.31.202:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.202-1152
name: 🇬🇧GB-82.38.31.48-0073 | type: ss | id: 493 | remarks: 🇬🇧GB-82.38.31.9-1119 | protocol: ss | ping: 131 MS | avg_speed: 70.044 MB | max_speed: 153.415 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpvWklvQTY5UTh5aGNRVjhrYTNQYTNB@82.38.31.9:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.9-1119
name: 🇬🇧GB-82.38.31.212-0062 | type: ss | id: 159 | remarks: 🇬🇧GB-82.38.31.162-0280 | protocol: ss | ping: 127 MS | avg_speed: 69.96 MB | max_speed: 153.665 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpvWklvQTY5UTh5aGNRVjhrYTNQYTNB@82.38.31.162:443#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.162-0280
name: 🇬🇧GB-82.38.31.49-0091 | type: ss | id: 529 | remarks: 🇬🇧GB-82.38.31.16-1199 | protocol: ss | ping: 130 MS | avg_speed: 69.938 MB | max_speed: 151.049 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpvWklvQTY5UTh5aGNRVjhrYTNQYTNB@82.38.31.16:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.16-1199
name: 🇬🇧GB-82.38.31.217-0072 | type: ss | id: 739 | remarks: 🇳🇱NL-193.29.139.188-1867 | protocol: ss | ping: 128 MS | avg_speed: 69.227 MB | max_speed: 145.756 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpvWklvQTY5UTh5aGNRVjhrYTNQYTNB@193.29.139.188:8080#%F0%9F%87%B3%F0%9F%87%B1NL-193.29.139.188-1867
name: 🇬🇧GB-82.38.31.174-0079 | type: ss | id: 517 | remarks: 🇬🇧GB-82.38.31.35-1178 | protocol: ss | ping: 129 MS | avg_speed: 69.186 MB | max_speed: 149.099 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpvWklvQTY5UTh5aGNRVjhrYTNQYTNB@82.38.31.35:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.35-1178
name: 🇬🇧GB-82.38.31.16-0096 | type: ss | id: 161 | remarks: 🇬🇧GB-82.38.31.28-0282 | protocol: ss | ping: 133 MS | avg_speed: 69.165 MB | max_speed: 150.283 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpvWklvQTY5UTh5aGNRVjhrYTNQYTNB@82.38.31.28:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.28-0282
name: 🇬🇧GB-82.38.31.184-0092 | type: ss | id: 160 | remarks: 🇬🇧GB-82.38.31.164-0281 | protocol: ss | ping: 135 MS | avg_speed: 68.918 MB | max_speed: 144.489 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpvWklvQTY5UTh5aGNRVjhrYTNQYTNB@82.38.31.164:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.164-0281
name: 🇬🇧GB-82.38.31.210-0064 | type: ss | id: 165 | remarks: 🇬🇧GB-82.38.31.7-0287 | protocol: ss | ping: 134 MS | avg_speed: 68.877 MB | max_speed: 157.546 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpvWklvQTY5UTh5aGNRVjhrYTNQYTNB@82.38.31.7:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.7-0287
name: 🇬🇧GB-82.38.31.208-0066 | type: ss | id: 521 | remarks: 🇬🇧GB-82.38.31.10-1183 | protocol: ss | ping: 127 MS | avg_speed: 68.836 MB | max_speed: 151.009 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpvWklvQTY5UTh5aGNRVjhrYTNQYTNB@82.38.31.10:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.10-1183
name: 🇬🇧GB-82.38.31.216-0060 | type: ss | id: 512 | remarks: 🇳🇱NL-193.29.139.235-1166 | protocol: ss | ping: 131 MS | avg_speed: 68.348 MB | max_speed: 153.472 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpvWklvQTY5UTh5aGNRVjhrYTNQYTNB@193.29.139.235:8080#%F0%9F%87%B3%F0%9F%87%B1NL-193.29.139.235-1166
name: 🇬🇧GB-82.38.31.66-0070 | type: ss | id: 527 | remarks: 🇬🇧GB-82.38.31.2-1196 | protocol: ss | ping: 132 MS | avg_speed: 67.768 MB | max_speed: 142.021 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpvWklvQTY5UTh5aGNRVjhrYTNQYTNB@82.38.31.2:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.2-1196
name: 🇬🇧GB-82.38.31.186-0088 | type: ss | id: 140 | remarks: 🇬🇧GB-82.38.31.201-0257 | protocol: ss | ping: 129 MS | avg_speed: 67.63 MB | max_speed: 139.421 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTprMWRCT21PQjRvcWk3VW1wMzdhMWJR@82.38.31.201:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.201-0257
name: 🇳🇱NL-193.29.139.235-0063 | type: ss | id: 152 | remarks: 🇳🇱NL-193.29.139.197-0273 | protocol: ss | ping: 122 MS | avg_speed: 67.57 MB | max_speed: 140.618 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpvWklvQTY5UTh5aGNRVjhrYTNQYTNB@193.29.139.197:8080#%F0%9F%87%B3%F0%9F%87%B1NL-193.29.139.197-0273
name: 🇬🇧GB-82.38.31.46-0117 | type: ss | id: 485 | remarks: 🇬🇧GB-82.38.31.205-1108 | protocol: ss | ping: 138 MS | avg_speed: 67.472 MB | max_speed: 137.833 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTprMWRCT21PQjRvcWk3VW1wMzdhMWJR@82.38.31.205:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.205-1108
name: 🇳🇱NL-193.29.139.168-0095 | type: ss | id: 158 | remarks: 🇬🇧GB-82.38.31.149-0279 | protocol: ss | ping: 133 MS | avg_speed: 67.374 MB | max_speed: 142.19 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpvWklvQTY5UTh5aGNRVjhrYTNQYTNB@82.38.31.149:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.149-0279
name: 🇳🇱NL-193.29.139.151-0068 | type: ss | id: 519 | remarks: 🇬🇧GB-82.38.31.34-1181 | protocol: ss | ping: 120 MS | avg_speed: 67.256 MB | max_speed: 141.495 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpvWklvQTY5UTh5aGNRVjhrYTNQYTNB@82.38.31.34:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.34-1181
name: 🇺🇸US-108.181.0.177-0194 | type: ss | id: 142 | remarks: 🇬🇧GB-82.38.31.208-0260 | protocol: ss | ping: 131 MS | avg_speed: 66.868 MB | max_speed: 153.015 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTprMWRCT21PQjRvcWk3VW1wMzdhMWJR@82.38.31.208:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.208-0260
name: 🇨🇦CA-108.181.118.10-0193 | type: ss | id: 537 | remarks: 🇬🇧GB-82.38.31.46-1220 | protocol: ss | ping: 128 MS | avg_speed: 66.771 MB | max_speed: 136.24 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpvWklvQTY5UTh5aGNRVjhrYTNQYTNB@82.38.31.46:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.46-1220
name: 🇺🇸US-173.244.56.9-0057 | type: ss | id: 524 | remarks: 🇬🇧GB-82.38.31.189-1187 | protocol: ss | ping: 131 MS | avg_speed: 66.388 MB | max_speed: 125.79 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTprMWRCT21PQjRvcWk3VW1wMzdhMWJR@82.38.31.189:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.189-1187
name: 🇺🇸US-173.244.56.6-0058 | type: ss | id: 504 | remarks: 🇬🇧GB-82.38.31.184-1146 | protocol: ss | ping: 134 MS | avg_speed: 65.71 MB | max_speed: 129.458 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTprMWRCT21PQjRvcWk3VW1wMzdhMWJR@82.38.31.184:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.184-1146
name: 🇨🇦CA-137.184.174.93-0154 | type: ss | id: 740 | remarks: 🇬🇧GB-82.38.31.42-1879 | protocol: ss | ping: 124 MS | avg_speed: 65.635 MB | max_speed: 127.553 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpvWklvQTY5UTh5aGNRVjhrYTNQYTNB@82.38.31.42:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.42-1879
name: 🇳🇱NL-109.201.152.181-0098 | type: ss | id: 73 | remarks: 🇺🇸US-108.181.0.177-0126 | protocol: ss | ping: 57 MS | avg_speed: 65.561 MB | max_speed: 88.054 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpHNXA2d3c0bzY3SEI=@108.181.0.177:8388#%F0%9F%87%BA%F0%9F%87%B8US-108.181.0.177-0126
name: 🇨🇦CA-149.22.95.183-0056 | type: ss | id: 505 | remarks: 🇬🇧GB-82.38.31.191-1149 | protocol: ss | ping: 136 MS | avg_speed: 64.682 MB | max_speed: 144.893 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTprMWRCT21PQjRvcWk3VW1wMzdhMWJR@82.38.31.191:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.191-1149
name: 🇳🇱NL-158.173.20.171-5190 | type: ss | id: 506 | remarks: 🇬🇧GB-82.38.31.194-1150 | protocol: ss | ping: 255 MS | avg_speed: 64.538 MB | max_speed: 146.897 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTprMWRCT21PQjRvcWk3VW1wMzdhMWJR@82.38.31.194:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.194-1150
name: 🇩🇪DE-8.209.74.72-0116 | type: ss | id: 511 | remarks: 🇬🇧GB-82.38.31.212-1165 | protocol: ss | ping: 136 MS | avg_speed: 63.703 MB | max_speed: 140.113 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTprMWRCT21PQjRvcWk3VW1wMzdhMWJR@82.38.31.212:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.212-1165
name: 🇳🇱NL-193.29.139.204-0101 | type: ss | id: 528 | remarks: 🇬🇧GB-82.38.31.61-1197 | protocol: ss | ping: 131 MS | avg_speed: 62.992 MB | max_speed: 141.312 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpvWklvQTY5UTh5aGNRVjhrYTNQYTNB@82.38.31.61:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.61-1197
name: 🇬🇧GB-141.98.101.181-0113 | type: ss | id: 561 | remarks: 🇨🇦CA-137.184.174.93-1257 | protocol: ss | ping: 45 MS | avg_speed: 62.992 MB | max_speed: 98.015 MB | Link: ss://cmM0LW1kNToxNGZGUHJiZXpFM0hEWnpzTU9yNg==@137.184.174.93:8080#%F0%9F%87%A8%F0%9F%87%A6CA-137.184.174.93-1257
name: 🇺🇸US-37.19.198.236-0102 | type: ss | id: 164 | remarks: 🇬🇧GB-82.38.31.42-0285 | protocol: ss | ping: 126 MS | avg_speed: 61.749 MB | max_speed: 128.88 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpvWklvQTY5UTh5aGNRVjhrYTNQYTNB@82.38.31.42:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.42-0285
name: 🇺🇸US-37.19.198.244-0111 | type: ss | id: 520 | remarks: 🇬🇧GB-82.38.31.174-1182 | protocol: ss | ping: 131 MS | avg_speed: 61.568 MB | max_speed: 134.928 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpvWklvQTY5UTh5aGNRVjhrYTNQYTNB@82.38.31.174:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.174-1182
name: 🇺🇸US-37.19.198.243-0099 | type: ss | id: 144 | remarks: 🇬🇧GB-82.38.31.214-0262 | protocol: ss | ping: 138 MS | avg_speed: 61.226 MB | max_speed: 106.633 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTprMWRCT21PQjRvcWk3VW1wMzdhMWJR@82.38.31.214:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.214-0262
name: 🇺🇸US-37.19.198.160-0103 | type: ss | id: 145 | remarks: 🇬🇧GB-82.38.31.216-0263 | protocol: ss | ping: 135 MS | avg_speed: 59.404 MB | max_speed: 112.347 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTprMWRCT21PQjRvcWk3VW1wMzdhMWJR@82.38.31.216:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.216-0263
name: ZA-102.133.165.160-0122 | type: ss | id: 163 | remarks: 🇬🇧GB-82.38.31.39-0284 | protocol: ss | ping: 129 MS | avg_speed: 59.04 MB | max_speed: 122.356 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpvWklvQTY5UTh5aGNRVjhrYTNQYTNB@82.38.31.39:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.39-0284
name: ZA-102.37.156.224-0121 | type: ss | id: 134 | remarks: 🇬🇧GB-82.38.31.187-0250 | protocol: ss | ping: 1390 MS | avg_speed: 58.592 MB | max_speed: 113.53 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTprMWRCT21PQjRvcWk3VW1wMzdhMWJR@82.38.31.187:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.187-0250
name: 🇳🇱NL-108.181.58.239-0110 | type: ss | id: 130 | remarks: 🇳🇱NL-193.29.139.223-0246 | protocol: ss | ping: 122 MS | avg_speed: 55.475 MB | max_speed: 97.031 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTprMWRCT21PQjRvcWk3VW1wMzdhMWJR@193.29.139.223:8080#%F0%9F%87%B3%F0%9F%87%B1NL-193.29.139.223-0246
name: 🇳🇱NL-108.181.126.122-0109 | type: ss | id: 186 | remarks: 🇺🇸US-173.244.56.6-0320 | protocol: ss | ping: 83 MS | avg_speed: 55.184 MB | max_speed: 70.17 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@173.244.56.6:443#%F0%9F%87%BA%F0%9F%87%B8US-173.244.56.6-0320
name: 🇬🇧GB-82.38.31.218-0138 | type: ss | id: 133 | remarks: 🇬🇧GB-82.38.31.185-0249 | protocol: ss | ping: 1820 MS | avg_speed: 54.948 MB | max_speed: 94.811 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTprMWRCT21PQjRvcWk3VW1wMzdhMWJR@82.38.31.185:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.185-0249
name: 🇩🇪DE-209.46.102.22-0106 | type: ss | id: 137 | remarks: 🇬🇧GB-82.38.31.193-0254 | protocol: ss | ping: 126 MS | avg_speed: 53.439 MB | max_speed: 94.959 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTprMWRCT21PQjRvcWk3VW1wMzdhMWJR@82.38.31.193:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.193-0254
name: NO-185.213.23.63-0129 | type: ss | id: 132 | remarks: 🇬🇧GB-82.38.31.181-0248 | protocol: ss | ping: 129 MS | avg_speed: 53.414 MB | max_speed: 94.741 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTprMWRCT21PQjRvcWk3VW1wMzdhMWJR@82.38.31.181:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.181-0248
name: 🇬🇧GB-82.38.31.176-0141 | type: ss | id: 129 | remarks: 🇳🇱NL-193.29.139.147-0245 | protocol: ss | ping: 126 MS | avg_speed: 52.139 MB | max_speed: 92.703 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTprMWRCT21PQjRvcWk3VW1wMzdhMWJR@193.29.139.147:8080#%F0%9F%87%B3%F0%9F%87%B1NL-193.29.139.147-0245
name: 🇫🇷FR-54.36.174.140-0119 | type: ss | id: 515 | remarks: 🇬🇧GB-82.38.31.48-1176 | protocol: ss | ping: 132 MS | avg_speed: 50.545 MB | max_speed: 83.813 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpvWklvQTY5UTh5aGNRVjhrYTNQYTNB@82.38.31.48:8080#%F0%9F%87%AC%F0%9F%87%A7GB-82.38.31.48-1176
name: 🇺🇸US-156.146.38.169-0069 | type: ss | id: 747 | remarks: 🇸🇪SE-70.34.212.124-1943 | protocol: ss | ping: 118 MS | avg_speed: 50.435 MB | max_speed: 90.469 MB | Link: ss://YWVzLTI1Ni1nY206QXhJWVd0c2tKV0lJYWVmVw==@70.34.212.124:8388#%F0%9F%87%B8%F0%9F%87%AASE-70.34.212.124-1943
name: 🇺🇸US-156.146.38.167-0104 | type: ss | id: 207 | remarks: 🇸🇪SE-70.34.212.124-0351 | protocol: ss | ping: 123 MS | avg_speed: 50.053 MB | max_speed: 93.378 MB | Link: ss://YWVzLTI1Ni1nY206QXhJWVd0c2tKV0lJYWVmVw==@70.34.212.124:8388#%F0%9F%87%B8%F0%9F%87%AASE-70.34.212.124-0351
